asin,title,imgUrl,productURL,stars,reviews,price,listPrice,sub_category_id,isBestSeller,boughtInLastMonth
B07D4J1MQ4,Paxcoo 1mm Elastic Bracelet String Cord Stretch Bead Cord for Jewelry Making and Bracelet Making White,https://m.media-amazon.com/images/I/517YQJNAMeS._AC_UL320_.jpg,https://www.amazon.com/dp/B07D4J1MQ4,4.4,0,6.99,13.99,1,True,20000
B01LIJED4U,"Pro Size Polishing Cleaning Cloth Pure Cotton Made in USA for Gold, Silver, and Platinum Jewelry, Eco Friendly Large Cleaner Cloth 11 x 14 in. Keeps Jewelry Clean and Shiny",https://m.media-amazon.com/images/I/91C3CcGnOkL._AC_UL320_.jpg,https://www.amazon.com/dp/B01LIJED4U,4.7,0,10.95,0.0,1,True,8000
B08YNTXFJG,Duufin 120 Pieces Acrylic Keychain Blanks Set Including 40 Pieces Rectangle Acrylic Ornament Blanks (3 x 7cm) 40 Pieces Key Rings with Chain and 40 Pieces Jump Rings for DIY Projects and Craft,https://m.media-amazon.com/images/I/71czFH2QUML._AC_UL320_.jpg,https://www.amazon.com/dp/B08YNTXFJG,4.7,510,9.99,0.0,1,False,50
B08DXSF5PZ,"DIY Tray Silicone Resin Mold, Oval Epoxy Resin Casting Mold, Craft Jewelry Making Tools, Jewelry Plate Dish Casting Mold for Crafts Supplies",https://m.media-amazon.com/images/I/71ZnrCHA49L._AC_UL320_.jpg,https://www.amazon.com/dp/B08DXSF5PZ,4.6,584,8.99,0.0,1,False,0
B096JGXQN5,"GTOTd I Love Rock and Roll Pins Set(18 Pack,2.28 Inch）Cool Brand Brooch Pin Badges Music Singer Pins for Clothing Bags Backpack Jackets Accessories Supplies DIY Crafts",https://m.media-amazon.com/images/I/71SOJXp-wJL._AC_UL320_.jpg,https://www.amazon.com/dp/B096JGXQN5,4.5,245,12.79,0.0,1,False,50
B0BZXW1ZGS,"Xuhal 100 Pack Plastic Ring Sizer Bulk Reusable Finger Size Gauge Measure Plastic Ring Measurement Tool Jewelry Ring Sizing Kit Finger Measurer for Men and Women, 1-17 USA Rings Size White and Black",https://m.media-amazon.com/images/I/81qD7tFV+rL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BZXW1ZGS,5.0,1,16.99,0.0,1,False,0
B0BR8B472F,"Large Dice Resin Molds, 2 Styles Silicone Dice Mold for Epoxy Resin Casting, Triangle Hexagonal D20 D12 Dice Game Mold with Number, Silicone Resin Candle Mold for DIY Art Craft Home Decor",https://m.media-amazon.com/images/I/71uDVuhf71L._AC_UL320_.jpg,https://www.amazon.com/dp/B0BR8B472F,4.4,10,15.99,0.0,1,False,50
B096HTDZR5,"10 Pieces 25 mm Bezel Tray Blank Bangle Bracelet Bezel Blank Settings Adjustable Round Bracelet for Jewelry Making DIY Handmade, Men and Women (Silver)",https://m.media-amazon.com/images/I/71M5IJaWA2S._AC_UL320_.jpg,https://www.amazon.com/dp/B096HTDZR5,4.4,130,14.99,0.0,1,False,0
B07SVCV8VB,100pcs Adabele Authentic 925 Sterling Silver Crimp Beads 1.6mm Smooth Tiny Tubes Spacer (Hole 0.9mm) for Jewelry Making SS241-1,https://m.media-amazon.com/images/I/51wAAOtlbzL._AC_UL320_.jpg,https://www.amazon.com/dp/B07SVCV8VB,4.5,82,10.49,0.0,1,False,0
B0B4689HLD,90 Pcs Antique Silver Jesus Mary Religious Benedict Medallion Mexican Spacer Beads Charms Pendants for Jewelry Making DIY Rosary Necklace Bracelet (M716),https://m.media-amazon.com/images/I/713kgDwf7nL._AC_UL320_.jpg,https://www.amazon.com/dp/B0B4689HLD,4.6,65,8.99,0.0,1,False,0
B0721PY3M9,"Zenacolor 20 Fabric Markers Pens Set - Non Toxic, Indelible and Permanent Fabric Paint Fine Point Textile Marker Pen - Pens Fine Point Tip",https://m.media-amazon.com/images/I/91md7iVF6YL._AC_UL320_.jpg,https://www.amazon.com/dp/B0721PY3M9,4.4,8261,7.99,14.99,2,True,3000
B004BQ01CQ,"Tulip Dimensional Fabric Paint 41401 Dfpt 4Oz Slick Black, 4 Fl Oz (Pack of 1)",https://m.media-amazon.com/images/I/615w-cWLgKL._AC_UL320_.jpg,https://www.amazon.com/dp/B004BQ01CQ,4.6,1833,3.98,0.0,2,True,1000
B01FV60TAS,"Tulip One-Step Tie-Dye Party, 18 Pre-Filled Bottles, Creative Group Activity, All-in-1 Fashion Design Kit, 1 Pack, Rainbow",https://m.media-amazon.com/images/I/81IU-Oqb81L._AC_UL320_.jpg,https://www.amazon.com/dp/B01FV60TAS,4.8,33980,19.34,41.29,2,False,3000
B00UY194NE,Tulip ColorShot Instant Fabric Spray Color 3oz. Black,https://m.media-amazon.com/images/I/61EaMHdcFCL._AC_UL320_.jpg,https://www.amazon.com/dp/B00UY194NE,4.3,3446,5.98,7.99,2,False,2000
