id,sub_category_name,main_category_id
1,Beading & Jewelry Making,1
2,Fabric Decorating,1
3,Knitting & Crochet Supplies,1
4,Printmaking Supplies,1
5,Scrapbooking & Stamping Supplies,1
6,Sewing Products,1
7,Craft & Hobby Fabric,1
8,Needlework Supplies,1
9,"Arts, Crafts & Sewing Storage",1
10,"Painting, Drawing & Art Supplies",1
11,Craft Supplies & Materials,1
12,Gift Wrapping Supplies,1
13,Party Decorations,1
14,Automotive Paint & Paint Supplies,2
15,Heavy Duty & Commercial Vehicle Equipment,2
16,Automotive Tires & Wheels,2
17,Automotive Tools & Equipment,2
18,Automotive Performance Parts & Accessories,2
19,Car Care,2
20,Oils & Fluids,2
21,Automotive Replacement Parts,2
22,"Lights, Bulbs & Indicators",2
23,Automotive Interior Accessories,2
24,Automotive Exterior Accessories,2
25,Automotive Enthusiast Merchandise,2
26,Car Electronics & Accessories,2
27,RV Parts & Accessories,2
28,Motorcycle & Powersports,2
29,Baby Diapering Products,3
30,Baby & Toddler Feeding Supplies,3
31,Pregnancy & Maternity Products,3
32,Child Safety Car Seats & Accessories,3
33,Baby Safety Products,3
34,Toilet Training Products,3
35,Baby Care Products,3
36,Baby Travel Gear,3
38,Baby Activity & Entertainment Products,3
39,Baby Gifts,3
40,Baby Stationery,3
41,"Nursery Furniture, Bedding & Décor",3
42,Baby,3
43,Baby Boys' Clothing & Shoes,3
44,Baby Strollers & Accessories,3
45,Beauty & Personal Care,4
46,Perfumes & Fragrances,4
47,Hair Care Products,4
48,Makeup,4
49,Skin Care Products,4
50,Beauty Tools & Accessories,4
51,"Foot, Hand & Nail Care Products",4
52,Personal Care Products,4
53,Shaving & Hair Removal Products,4
54,Computer Servers,5
55,Data Storage,5
56,Computer Monitors,5
57,Computers & Tablets,5
58,Tablet Replacement Parts,5
60,Computer Networking,5
63,Computer Components,5
64,Tablet Accessories,5
65,Laptop Accessories,5
66,Computer External Components,5
68,Wearable Technology,5
69,Televisions & Video Products,5
70,GPS & Navigation,5
71,Headphones & Earbuds,5
72,Office Electronics,5
73,Portable Audio & Video,5
74,eBook Readers & Accessories,5
75,Cell Phones & Accessories,5
76,Accessories & Supplies,5
77,Video Projectors,5
78,Vehicle Electronics,5
79,Camera & Photo,5
80,Security & Surveillance Equipment,5
81,Computers,5
82,Home Audio & Theater Products,5
83,Video Game Consoles & Accessories,5
84,Boys' Clothing,6
87,Boys' Accessories,6
88,Boys' Jewelry,6
89,Boys' Watches,6
90,Boys' Shoes,6
91,Girls' Clothing,7
94,Girls' Accessories,7
95,Girls' Jewelry,7
96,Girls' Watches,7
97,Girls' Shoes,7
98,Girls' School Uniforms,7
99,Travel Duffel Bags,8
100,Messenger Bags,8
101,Travel Tote Bags,8
102,Garment Bags,8
103,Luggage Sets,8
104,Suitcases,8
105,Travel Accessories,8
106,Rain Umbrellas,8
107,Backpacks,8
108,Luggage,8
109,Laptop Bags,8
110,Men's Clothing,9
112,Men's Accessories,9
113,Men's Watches,9
114,Men's Shoes,9
116,Women's Clothing,10
118,Women's Handbags,10
120,Women's Accessories,10
121,Women's Watches,10
122,Women's Shoes,10
123,Women's Jewelry,10
124,Kids' Furniture,11
125,Gift Cards,11
126,Oral Care Products,12
127,Vision Products,12
128,Wellness & Relaxation Products,12
129,Baby & Child Care Products,12
130,Household Supplies,12
131,Health Care Products,12
132,Diet & Sports Nutrition,12
133,Home Use Medical Supplies & Equipment,12
134,Sexual Wellness Products,12
135,Health & Household,12
136,Sports Nutrition Products,12
137,Stationery & Gift Wrapping Supplies,13
138,Commercial Door Products,13
139,Power Transmission Products,13
140,Industrial Materials,13
141,Industrial Hardware,13
142,Abrasive & Finishing Products,13
143,"Industrial Adhesives, Sealants & Lubricants",13
144,Material Handling Products,13
145,"Test, Measure & Inspect",13
146,Industrial Power & Hand Tools,13
147,"Hydraulics, Pneumatics & Plumbing",13
